id,id_karyawan,nik,tanggal,shift,jadwal_masuk,jadwal_pulang,jam_masuk,jam_keluar,terlambat,plg_cepat,absent,lembur,jml_jamkerja,id_departement,jam_kerja,partner,created_at,updated_at
13698,140,-,2/3/2025,,09:05:00,17:30:00,06:05:36,,,,,,,47,,2,2/3/2025 06:15:47,2/3/2025 06:15:47
13699,83,RTI010,2/3/2025,,09:05:00,17:30:00,07:08:47,17:27:41,,00:02:19,,,10:18:54,49,10:18:54,2,2/3/2025 07:19:52,2/3/2025 17:39:51
13700,141,RTI,2/3/2025,,09:05:00,17:30:00,07:10:54,17:33:01,,,,00:03:01,10:19:06,47,10:22:07,2,2/3/2025 07:19:52,2/3/2025 17:44:00
13701,74,RTI001,2/3/2025,,09:05:00,17:30:00,08:40:58,17:32:46,,,,00:02:46,08:49:02,50,08:51:48,2,2/3/2025 08:51:55,2/3/2025 17:44:00
13702,77,RTI004,2/3/2025,,09:05:00,17:30:00,08:50:47,17:32:19,,,,00:02:19,08:39:13,49,08:41:32,2,2/3/2025 08:59:54,2/3/2025 17:44:00
13703,76,RTI003,2/3/2025,,09:05:00,17:30:00,08:51:08,17:32:41,,,,00:02:41,08:38:52,49,08:41:33,2,2/3/2025 08:59:54,2/3/2025 17:44:00
13704,80,RTI007,2/3/2025,,09:05:00,17:30:00,08:52:42,17:27:05,,00:02:55,,,08:34:23,48,08:34:23,2,2/3/2025 09:03:58,2/3/2025 17:36:09
13705,137,RTI034,2/3/2025,,09:05:00,17:30:00,08:54:21,17:33:59,,,,00:03:59,08:35:39,46,08:39:38,2,2/3/2025 09:03:58,5/7/2025 17:17:12
13706,100,RTI027,2/3/2025,,09:05:00,17:30:00,08:57:44,17:26:00,,00:04:00,,,08:28:16,46,08:28:16,2,2/3/2025 09:08:14,2/3/2025 17:36:09
13707,75,RTI002,2/3/2025,,09:05:00,17:30:00,08:58:51,17:37:11,,,,00:07:11,08:31:09,49,08:38:20,2,2/3/2025 09:08:14,2/3/2025 17:47:45
13708,136,RTI035,2/3/2025,,09:05:00,17:30:00,09:00:08,17:33:51,,,,00:03:51,08:29:52,46,08:33:43,2,2/3/2025 09:13:23,2/3/2025 17:44:00
13709,92,RTI019,2/3/2025,,09:05:00,17:30:00,09:00:36,17:26:55,,00:03:05,,,08:26:19,46,08:26:19,2,2/3/2025 09:13:23,2/3/2025 17:36:09
13710,94,RTI021,2/3/2025,,09:05:00,17:30:00,09:05:03,17:31:37,,,,00:01:37,08:24:57,46,08:26:34,2,2/3/2025 09:18:11,2/3/2025 17:44:00
13711,138,--,2/3/2025,,09:05:00,17:30:00,09:07:08,17:26:49,00:02:08,00:03:11,,,08:19:41,46,08:19:41,2,2/3/2025 09:18:11,2/3/2025 17:36:09
13712,95,RTI022,2/3/2025,,09:05:00,17:30:00,09:10:32,17:26:31,00:05:32,00:03:29,,,08:15:59,47,08:15:59,2,2/3/2025 09:22:37,2/3/2025 17:36:09
13713,91,RTI018,2/3/2025,,09:05:00,17:30:00,09:13:00,17:34:43,00:08:00,,,00:04:43,08:17:00,48,08:21:43,2,2/3/2025 09:22:37,2/3/2025 17:44:00
13714,99,RTI026,2/3/2025,,09:05:00,17:30:00,09:13:37,17:27:47,00:08:37,00:02:13,,,08:14:10,46,08:14:10,2,2/3/2025 09:27:48,2/3/2025 17:39:51
13715,87,RTI014,2/3/2025,,09:05:00,17:30:00,09:13:43,17:27:10,00:08:43,00:02:50,,,08:13:27,46,08:13:27,2,2/3/2025 09:27:48,2/3/2025 17:36:09
13716,82,RTI009,2/3/2025,,09:05:00,17:30:00,09:13:54,17:34:18,00:08:54,,,00:04:18,08:16:06,48,08:20:24,2,2/3/2025 09:27:48,2/3/2025 17:44:00
13717,93,RTI020,2/3/2025,,09:05:00,17:30:00,09:14:03,17:29:41,00:09:03,,,,08:15:38,48,08:15:38,2,2/3/2025 09:27:49,2/3/2025 17:39:51
13718,88,RTI015,2/3/2025,,09:05:00,17:30:00,09:17:20,17:34:52,00:12:20,,,00:04:52,08:12:40,50,08:17:32,2,2/3/2025 09:27:49,2/3/2025 17:44:00
13719,98,RTI025,2/3/2025,,09:05:00,17:30:00,09:18:34,,00:13:34,,,,,48,,2,2/3/2025 09:33:25,2/3/2025 09:33:25
13720,97,RTI024,2/3/2025,,09:05:00,17:30:00,09:43:01,17:30:41,00:38:01,,,00:00:41,07:46:59,49,07:47:40,2,2/3/2025 09:55:10,5/7/2025 17:17:12
13721,79,RTI006,2/3/2025,,09:05:00,17:30:00,09:44:33,19:12:59,00:39:33,,,01:42:59,07:45:27,50,09:28:26,2,2/3/2025 09:55:10,5/7/2025 17:17:13
13722,140,-,2/4/2025,,09:05:00,17:30:00,06:10:19,,,,,,,47,,2,2/4/2025 06:21:54,2/4/2025 06:21:54
13723,83,RTI010,2/4/2025,,09:05:00,17:30:00,07:03:20,17:29:46,,,,,10:26:26,49,10:26:26,2,2/4/2025 07:13:56,2/4/2025 17:39:02
