id,tgl_permohonan,nik,id_karyawan,jabatan,departemen,id_jenisizin,keperluan,tgl_mulai,tgl_selesai,tgl_setuju_a,tgl_setuju_b,tgl_ditolak,batal_atasan,batal_pimpinan,batalditolak,ubah_atasan,ubah_pimpinan,ubahditolak,jam_mulai,jam_selesai,jml_hari,jml_jam,status,catatan,created_at,codeizin,updated_at
13,6/1/2026,RTI001,76,Software Engineer,47,1,sakit,2/26/2025,2/27/2025,,,,,,,,,,,,2,,3,,,,
14,6/1/2026,RTI001,77,Software Engineer,47,1,sakit,2/11/2025,2/11/2025,,,,,,,,,,,,1,,3,,,,
15,6/1/2026,RTI001,77,Software Engineer,47,1,sakit,2/14/2025,2/14/2025,,,,,,,,,,,,1,,3,,,,
16,6/1/2026,RTI001,80,Software Engineer,46,1,sakit,2/12/2025,2/12/2025,,,,,,,,,,,,1,,3,,,,
17,6/1/2026,RTI001,80,Software Engineer,47,1,sakit,2/20/2025,2/20/2025,,,,,,,,,,,,1,,3,,,,
18,6/1/2026,RTI001,82,Software Engineer,47,1,sakit,2/18/2025,2/18/2025,,,,,,,,,,,,1,,3,,,,
19,6/1/2026,RTI001,83,Software Engineer,47,1,sakit,2/13/2025,2/13/2025,6/14/2025 01:06:02,,,,,,,,,,,1,,3,,,,6/14/2025 01:06:02
20,6/1/2026,RTI001,89,Software Engineer,46,1,sakit,2/19/2025,2/19/2025,,,,,,,,,,,,1,,3,,,,
21,6/1/2026,RTI001,89,Software Engineer,47,1,sakit,2/21/2025,2/21/2025,,,,,,,,,,,,2,,3,,,,
22,6/1/2026,RTI001,89,Software Engineer,47,1,sakit,2/26/2025,2/26/2025,,,,,,,,,,,,1,,3,,,,
23,6/1/2026,RTI001,89,Software Engineer,47,1,sakit,2/28/2025,2/28/2025,,,,,,,,,,,,1,,3,,,,
24,6/1/2026,RTI001,95,Software Engineer,46,1,sakit,2/28/2025,2/28/2025,,,,,,,,,,,,2,,3,,,,
25,6/1/2026,RTI001,98,Software Engineer,47,1,sakit,2/6/2025,2/6/2025,,,,,,,,,,,,1,,3,,,,
26,6/1/2026,RTI001,99,Software Engineer,47,1,sakit,2/7/2025,2/7/2025,,,,,,,,,,,,1,,3,,,,
27,6/1/2026,RTI001,100,Software Engineer,46,1,sakit,2/24/2025,2/24/2025,,,,,,,,,,,,1,,3,,,,
28,6/1/2026,RTI001,76,Software Engineer,47,1,sakit,3/3/2025,3/3/2025,,,,,,,,,,,,1,,3,,,,
29,6/1/2026,RTI001,76,Software Engineer,47,1,sakit,3/12/2025,3/12/2025,,,,,,,,,,,,1,,3,,,,
30,6/1/2026,RTI001,89,Software Engineer,47,1,sakit,3/5/2025,3/5/2025,,,,,,,,,,,,1,,3,,,,
31,6/1/2026,RTI001,89,Software Engineer,46,1,sakit,3/7/2025,3/7/2025,,,,,,,,,,,,1,,3,,,,
32,6/1/2026,RTI001,89,Software Engineer,47,1,sakit,3/11/2025,3/11/2025,,,,,,,,,,,,2,,3,,,,
33,6/1/2026,RTI001,89,Software Engineer,47,1,sakit,3/13/2025,3/13/2025,,,,,,,,,,,,1,,3,,,,
34,6/1/2026,RTI001,89,Software Engineer,47,1,sakit,3/17/2025,3/17/2025,,,,,,,,,,,,1,,3,,,,
35,6/1/2026,RTI001,89,Software Engineer,47,1,sakit,3/19/2025,3/19/2025,,,,,,,,,,,,1,,3,,,,
36,6/1/2026,RTI001,89,Software Engineer,47,1,sakit,3/21/2025,3/21/2025,,,,,,,,,,,,1,,3,,,,
37,6/1/2026,RTI001,89,Software Engineer,46,1,sakit,3/26/2025,3/26/2025,,,,,,,,,,,,2,,3,,,,
38,6/1/2026,RTI001,94,Software Engineer,47,1,sakit,3/7/2025,3/7/2025,,,,,,,,,,,,1,,3,,,,
39,6/1/2026,RTI001,95,Software Engineer,47,1,sakit,3/4/2025,3/4/2025,,,,,,,,,,,,1,,3,,,,
40,6/1/2026,RTI001,97,Software Engineer,46,1,sakit,3/17/2025,3/17/2025,,,,,,,,,,,,1,,3,,,,
41,6/1/2026,RTI001,98,Software Engineer,47,1,sakit,3/24/2025,3/24/2025,,,,,,,,,,,,1,,3,,,,
42,6/1/2026,RTI001,100,Software Engineer,47,1,sakit,3/14/2025,3/14/2025,,,,,,,,,,,,1,,3,,,,
43,6/1/2026,RTI001,100,Software Engineer,47,1,sakit,3/27/2025,3/27/2025,,,,,,,,,,,,1,,3,,,,
44,6/1/2026,RTI001,136,Software Engineer,46,1,sakit,3/21/2025,3/21/2025,,,,,,,,,,,,1,,3,,,,
45,6/1/2026,RTI001,137,Software Engineer,47,1,sakit,3/5/2025,3/5/2025,,,,,,,,,,,,2,,3,,,,
48,6/14/2025,RTI004,77,Developer,46,1,sakit,5/23/2025,5/23/2025,,,,,,,,,,,,1,,3,,,,
